career,career_category
Public School Principal,education
Educator,education
Energy,energy
Energy Management,energy
Engineer,engineer
Engineer or iBanker or consultant,engineer
Ph.D. Electrical Engineering,engineer
Engineering,engineer
Mechanical Engineering,engineer
engineering professional,engineer
Engineer,engineer
Engineer,engineer
ASIC Engineer,engineer
"software engr, network engr",engineer
Clidren's TV,entertainment
comedienne,entertainment
Entertainment/Sports,entertainment
Entertainment/Media,entertainment
producer at a non-profit regional theatre,entertainment
Media Management,entertainment
entrepeneur,entrepreneur
enterpreneur,entrepreneur
Entrepreneur,entrepreneur
Entrepreneur,entrepreneur
Entrepreneurship,entrepreneur
Entrepreneur,entrepreneur
Entrepreneur,entrepreneur
Conservation training and education,environmentalist
Epidemiologist,epidemiologist
Epidemiologist,epidemiologist
Epidemiologist,epidemiologist
epidemiologist,epidemiologist
Epidemiologist,epidemiologist
film,film
Film/Television,film
film directing,film
Filmmaker,film
film and radio,film
Film,film
Make money,finance
Financial Services,finance
Banking,finance
Capital Markets,finance
banker / academia,finance
banker,finance
Private Equity Investing,finance
banker,finance
banker,finance
Microfinancing Program Manager,finance
Finance,finance
Asset Management,finance
investment banking,finance
Investment Banking,finance
finance,finance
Finance,finance
Finance,finance
Finance,finance
financial service or fashion,finance
finance,finance
Private Equity,finance
Investment Management,finance
investment banking,finance
Finance,finance
Finance,finance
Investment Banking,finance
corporate finance,finance
banking,finance
Investment Banking,finance
finance or engineering,finance
Investment banking,finance
International Development banker,finance
"Corporate Finance, Asset Management/ Hedge Funds",finance
Finance,finance
Investment Banking,finance
investment banking,finance
Private Equity,finance
investment management,finance
Finance Related,finance
Financial Mathematics-Investment Bank or Hedge Fund-Derivatives Quant Analyst,finance
Work in an investment bank,finance
Investment Banking,finance
Finance,finance
millionaire,finance
Money Management,finance
Investment Management,finance
Finance,finance
Public Finance,finance
banking,finance
private equity,finance
Health care finance,finance
Fixed Income Sales & Trading,finance
Finance/Economics,finance
Banking,finance
Investment Banker,finance
Finance,finance
Finance,finance
self-made millionare,finance
To go into Finance,finance
Private Equity - Leveraged Buy-Outs,finance
Finance,finance
Banking,finance
international development work,global development
International Development,global development
International affairs related career,global development
Intl Development,global development
International Development,global development
UN Civil Servant,government
"Poet, Writer, Singer, Policy Maker with the UN and/or Indian Govt.",government
president,government
GOVERNOR,government
health policy,healthcare
Healthcare,healthcare
Journalist,journalism
academics or journalism,journalism
Journalism,journalism
Journalist,journalism
journalism,journalism
lawyer,law
law,law
lawyer/policy work,law
Law,law
Corporate Lawyer,law
Lawyer,law
Corporate attorney,law
Lawyer,law
Lawyer,law
law,law
law,law
lawyer,law
law,law
lawyer,law
Law,law
Intellectual Property Attorney,law
LAWYER,law
attorney,law
Lawyer or professional surfer,law
attorney,law
Lawyer,law
Lawyer,law
Law,law
lawyer/gov.position,law
Lawyer,law
Law or finance,law
law,law
lawyer,law
IP Law,law
Intellectual Property Attorney,law
Law,law
attorney?,law
Lawyer,law
Lawyer,law
Lawyer,law
Lawyer,law
Lawyer,law
Corporate law,law
tax lawyer,law
lawyer,law
Assistant District Attorney,law
Law,law
Lawyer,law
General Management,management
Management,management
General management/consulting,management
Marketing,marketing
"Marketing, Advertising",marketing
Marketing and Media,marketing
Brand Management,marketing
marketing / brand management,marketing
Marketing or Strategy and Business Development,marketing
Media Marketing/Entrepreneurship,marketing
Medicine,medicine
pharmaceuticals,medicine
Pediatrics,medicine
medicine,medicine
pharmaceuticals and biotechnology,medicine
Medicine,medicine
medicine,medicine
Clinic Trial,medicine
Medical Sciences,medicine
Music production,music industry
Music Industry,music industry
"music educator, performer",music industry
playing music,music industry
Naturalist,nonprofit
Nonprofit,nonprofit
Literacy Organization head/ Director of Development for non-profit,nonprofit
Fundraising for Non-Profits,nonprofit
Exec. Director of social service non-profit,nonprofit
nutrition and dental,nutrition
dietician,nutrition
Private practice Dietician,nutrition
Nutritionist,nutrition
Hero,other
assistant master of the universe (otherwise it's too much work),other
professional career,other
Speech Language Pathologist,pathologist
speech pathologist,pathologist
Speech Pathologist,pathologist
Cardiologist,physician
Physician,physician
doctor and entrepreneur,physician
"physician, informaticist",physician
physician,physician
physician/healthcare,physician
Physician,physician
Doctor,physician
"Congresswoman, and comedian",politics
Humanitarian Affairs/Human Rights,politics
Educational Policy,politics
Security Policy - Homeland Defense,politics
Political Development in Africa,politics
Lobbyist,politics
Economic Policy Advisor on Latin America,politics
politics,politics
School Leadership/Politics,politics
Pro Beach Volleyball,professional sports
boxing champ,professional sports
Professor,professor
Professor of Media Studies,professor
Professor,professor
University Professor,professor
Professor,professor
Teacher/Professor,professor
"no idea, maybe a professor",professor
professor,professor
professor,professor
Professor and Government Official,professor
professor,professor
professor,professor
college art teacher,professor
professor,professor
professor,professor
Professor,professor
college professor,professor
Professor or Consultant,professor
History Professor,professor
professor,professor
Professor,professor
"professor, poet/critic",professor
Professor,professor
College Professor,professor
Professor or Lawyer,professor
professor,professor
Professor,professor
professor,professor
professor,professor
professor of education,professor
professor in college,professor
Professor or journalist,professor
to get Ph.D and be a professor,professor
Professor,professor
"Professor, or Engineer",professor
Professor; Human Rights Director,professor
professor,professor
Professor...?,professor
Professor,professor
Professor,professor
psychologist,psychologist
psychologist,psychologist
Psychologist,psychologist
school psychologist,psychologist
School Psychologist,psychologist
Clinical Psychology,psychologist
Clinical Psychologist,psychologist
Psychologist,psychologist
Clinical Psychologist,psychologist
School Psychologist,psychologist
Clinical Psychologist,psychologist
public service,public service
Real Estate,real estate
Real Estate/ Private Equity,real estate
Real Estate Consulting,real estate
Real Estate,real estate
"Research scientist, professor",research
research/financial industry,research
Operations Research,research
Economic research,research
Research Scientist,research
a research position,research
research,research
Country Analysis/Research/Credit Analysis,research
scientific research,research
Research Scientist,research
Researcher,research
Research/Teaching,research
researcher in sociology,research
researcher/academia,research
scientific research for now but who knows,research
Researcher,research
research position in pharmaceutical industry,research
research/academia,research
research,research
research,research
Researcher,research
medical examiner or researcher,research
research,research
"clinical psychologist, researcher, professor",research
research - teaching,research
Research,research
Research,research
researcher,research
Research Engineer,research
Biostatistics,science
industrial scientist,science
Physician Scientist,science
scientist,science
Scientist,science
Scientist/educator,science
Scientist,science
scientist,science
biology industry,science
scientist,science
Scientist,science
Scientist,science
Science,science
Porn Star,sex industry
Sex Therapist,sex industry
To create early childhood intervention programs,social worker
Social Worker,social worker
Social work with children,social worker
Social Work Administration,social worker
social worker,social worker
social worker,social worker
Social Worker.... Clinician,social worker
Social Worker,social worker
Social Services/ Policy,social worker
Social Worker,social worker
Clinical Social Worker,social worker
Social work,social worker
Child Rights,social worker
Social Work,social worker
Social Work Policy,social worker
Social Worker,social worker
Social Worker,social worker
Social Work,social worker
Clinical Social Worker,social worker
Social Work,social worker
Social Worker,social worker
teacher,teacher
teaching and then...,teacher
teaching,teacher
elementary school teacher,teacher
Teacher,teacher
Secondary Education Teacher,teacher
High School Social Studies Teacher,teacher
English Teacher,teacher
Teacher,teacher
I am a teacher.,teacher
Teacher,teacher
teacher,teacher
teacher,teacher
Elementary school teacher,teacher
Bilingual Elementary School Teacher,teacher
Teacher,teacher
English teacher,teacher
teacher and performer,teacher
TEACHING,teacher
Informatics,tech
tech professional,tech
Trading,trading
Trader,trading
Trader,trading
Trade Specialist,trading
Undecided,undecided
,undecided
Undecided,undecided
I don't know,undecided
What a question!,undecided
if only i knew,undecided
don't know,undecided
Not Sure,undecided
TBA,undecided
Am not sure,undecided
Who knows,undecided
undecided,undecided
?,undecided
not sure yet :),undecided
undecided,undecided
,undecided
"reorganizing society. no, I am not being flip.",undecided
undecided,undecided
still wondering,undecided
Undecided,undecided
Not sure yet,undecided
unknown,undecided
unsure,undecided
??,undecided
dont know yet,undecided
Screenwriter,writer
novelist,writer
Writer,writer
Writer,writer
Writer,writer
Paper Back Writer,writer
WRITING,writer
Writing,writer
Screenwriter,writer
Writer,writer
Writer/teacher,writer
Writing or Editorial,writer
writer/editor,writer
Writer,writer
writer,writer
writer/teacher,writer
writer/producer,writer
Writer/Editor,writer
Writer/journalist,writer
